nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,fecha_scraping
BCAA'S INSTANTÁNEO 2:1:1 2.0 150g,,BCAA,3.95,0.15,26.33,HSN,https://www.hsnstore.com/marcas/raw-series/bcaas-instantaneo-2-1-1-2-0,2026-04-06
BCAA'S INSTANTÁNEO 4:1:1 2.0 150g,,BCAA,4.95,0.15,33.0,HSN,https://www.hsnstore.com/marcas/raw-series/bcaa-s-instantaneo-4-1-1-2-0,2026-04-06
Recovery Total 700g,Vitobest,BCAA,23.94,0.7,34.2,Nutritienda,https://www.nutritienda.com/es/vitobest/recovery-total-700g,2026-04-06
BCAA 2:1:1 300 g,,BCAA,11.89,0.3,39.63,Prozis,https://www.prozis.com/es/es/prozis/bcaa-211-300-g,2026-04-06
High Energy Gel Bcaa 76g,226ers,BCAA,3.15,0.076,41.45,Nutritienda,https://www.nutritienda.com/es/226ers/high-energy-gel-bcaa-76g,2026-04-06
BCAA+GLUTAMINE 500g,Ramificados,BCAA,21.28,0.5,42.56,Nutritienda,https://www.nutritienda.com/es/best-protein/bcaa-glutamine-500g,2026-04-06
Bcaa+Glutamine Concept 500g,MEGA PLUS,BCAA,22.04,0.5,44.08,Nutritienda,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-concept-500g,2026-04-06
BCAA'S + GLUTAMINA 400g,Aminoácidos,BCAA,18.99,0.4,47.47,Nutritienda,https://www.nutritienda.com/es/amazin-foods/bcaa-glutamina-400g,2026-04-06
Zero BCAA 300 g,,BCAA,14.31,0.3,47.7,Prozis,https://www.prozis.com/es/es/prozis/zero-bcaa-300-g,2026-04-06
BCAA + Glutamine 500g,Quamtrax Direct,BCAA,26.5,0.5,53.0,Nutritienda,https://www.nutritienda.com/es/quamtrax-direct/bcaa-glutamine-500g,2026-04-06
PREMIUM BCAA ZERO 8:1:1 + L-GLUTAMINA 500g,Weider,BCAA,28.48,0.5,56.96,Nutritienda,https://www.nutritienda.com/es/weider/premium-bcaa-zero-811-l-glutamina-500g,2026-04-06
BCAA 2:1:1 500g,Life Pro Nutrition,BCAA,28.9,0.5,57.8,Nutritienda,https://www.nutritienda.com/es/life-pro-nutrition/bcaa-2-1-1-500g,2026-04-06
Bcaa+Glutamine Core 300g,Procell,BCAA,18.14,0.3,60.47,Nutritienda,https://www.nutritienda.com/es/procell/bcaa-glutamine-core-300g,2026-04-06
Hardcore BCAA 390g,Mutant,BCAA,23.9,0.39,61.28,Nutritienda,https://www.nutritienda.com/es/mutant/hardcore-bcaa-390g,2026-04-06
BCAA Intra Fusion 400g,Reflex Nutrition,BCAA,24.65,0.4,61.62,Nutritienda,https://www.nutritienda.com/es/reflex-nutrition/bcaa-intra-fusion-400g,2026-04-06
BCAA 8:1:1 300 g,,BCAA,18.74,0.3,62.47,Prozis,https://www.prozis.com/es/es/prozis/bcaa-811-300-g,2026-04-06
Hydra BCAA's 420g,Quamtrax,BCAA,28.9,0.42,68.81,Nutritienda,https://www.nutritienda.com/es/quamtrax/hydra-bcaas-420g,2026-04-06
GLUTAMINA & BCAAS 2:1:1 300g,Be Essential,BCAA,20.65,0.3,68.83,Nutritienda,https://www.nutritienda.com/es/be-essential/glutamina-bcaas-211-300g,2026-04-06
AFTER 420g,Biotech USA,BCAA,29.9,0.42,71.19,Nutritienda,https://www.nutritienda.com/es/biotech-usa/after-post-entrenamiento-420g,2026-04-06
Bcaa+Glutamine 600g,MEGA PLUS,BCAA,43.01,0.6,71.68,Nutritienda,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-600g,2026-04-06
Bcaa Sensation 345g,DEDICATED NUTRITION,BCAA,24.99,0.345,72.43,Nutritienda,https://www.nutritienda.com/es/dedicated-nutrition/bcaa-sensation-345g,2026-04-06
Zero BCAA 150 g,,BCAA,11.04,0.15,73.6,Prozis,https://www.prozis.com/es/es/prozis/zero-bcaa-150-g,2026-04-06
EVOBCAA'S COMPLEX EN POLVO 150g,,BCAA,11.45,0.15,76.33,HSN,https://www.hsnstore.com/marcas/sport-series/evobcaas-complex-en-polvo,2026-04-06
EVO 4:1:1 (BCAA'S INSTANTÁNEOS) EN POLVO 150g,,BCAA,12.1,0.15,80.67,HSN,https://www.hsnstore.com/marcas/sport-series/evo-4-1-1-bcaa-s-instantaneos-en-polvo,2026-04-06
BCAA + GLUTAMINE ZERO 480g,Biotech USA,BCAA,38.9,0.48,81.04,Nutritienda,https://www.nutritienda.com/es/biotech-usa/bcaa-glutamina-zero-480g,2026-04-06
EVOBCAA'S 2.0 (BCAA'S 12:1:1 + GLUTAMINA) 150g,,BCAA,12.45,0.15,83.0,HSN,https://www.hsnstore.com/marcas/sport-series/evobcaa-s-2-0-bcaas-12-1-1-glutamina,2026-04-06
BCAA Xpress 280g,Scitec,BCAA,24.9,0.28,88.93,Nutritienda,https://www.nutritienda.com/es/scitec/bcaa-xpress-280g,2026-04-06
BCAA 8:1:1 300g,Beverly Nutrition,BCAA,27.9,0.3,93.0,Nutritienda,https://www.nutritienda.com/es/beverly-nutrition/bcaa-8-1-1-300g,2026-04-06
BCAA 12:1:1 Glutamina Kojak 400g,Big,BCAA,37.75,0.4,94.38,Nutritienda,https://www.nutritienda.com/es/big/bcaa-12-1-1-glutamina-kojak-400g,2026-04-06
BCAA INSTANT DRINK 300g,,BCAA,34.0,0.3,113.33,Nutritienda,https://www.nutritienda.com/es/amix-performance/bcaa-instant-drink-300g,2026-04-06
Amino Recovery 120 Caps,Amazin' Foods,BCAA,11.99,,,Nutritienda,https://www.nutritienda.com/es/amazin-foods/amino-recovery-120-capsulas,2026-04-06
