nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping,protein_per_serving_g,serving_size_g,servings_per_container,sweetener_free,flavors_available,store_rating,store_rating_count,store_rating_url,protein_subtype
BCAA's instantáneo 2:1:1 2.0 1kg,,BCAA,19.95,1.0,19.95,HSN,https://www.hsnstore.com/marcas/raw-series/bcaas-instantaneo-2-1-1-2-0,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/b/c/bcaas-2-1-1-gral-front-hsn_1_1.webp,2026-09-23,,5.0,100.0,False,['sin sabor'],4.65,366.0,https://www.hsnstore.com/marcas/raw-series/bcaas-instantaneo-2-1-1-2-0,
EvoBCAA's complex en polvo 1kg,,BCAA,20.45,1.0,20.45,HSN,https://www.hsnstore.com/marcas/sport-series/evobcaas-complex-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evobcaas-complex-powder-hsn_1.jpg,2026-09-23,,15.5,10.0,False,"['grosella negra', 'manzana', 'sandía']",4.65,188.0,https://www.hsnstore.com/marcas/sport-series/evobcaas-complex-en-polvo,
Evo 4:1:1 (BCAA's instantáneos) en polvo 1kg,,BCAA,20.66,1.0,20.66,HSN,https://www.hsnstore.com/marcas/sport-series/evo-4-1-1-bcaa-s-instantaneos-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evo-4-1-1-powder-hsn_1.jpg,2026-09-23,,5.0,30.0,False,"['frambuesa azul', 'limón', 'manzana', 'naranja', 'piña', 'ponche de frutas', 'sandía', 'cola']",4.7,227.0,https://www.hsnstore.com/marcas/sport-series/evo-4-1-1-bcaa-s-instantaneos-en-polvo,
R1 Gain 4.5 Kg,Rule1,BCAA,94.95,4.5,21.1,Nutritienda,https://www.nutritienda.com/es/rule1/r1-gain-4500g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/f07161c3-8db9-45a4-4402-05d99005ce00/public,2026-09-23,,,,,,,,,
EvoBCAA's 2.0 (BCAA's 12:1:1 + glutamina) 1kg,,BCAA,22.45,1.0,22.45,HSN,https://www.hsnstore.com/marcas/sport-series/evobcaa-s-2-0-bcaas-12-1-1-glutamina,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evobcaa-powder-hsn_1.jpg,2026-09-23,,11.0,45.0,False,"['cereza', 'cola', 'frambuesa azul', 'grosella negra', 'limón', 'manzana', 'naranja', 'piña', 'ponche frutas', 'sandia', 'té helado de melocotón']",4.65,2611.0,https://www.hsnstore.com/marcas/sport-series/evobcaa-s-2-0-bcaas-12-1-1-glutamina,
BCAA's instantáneo 4:1:1 2.0 1kg,,BCAA,22.95,1.0,22.95,HSN,https://www.hsnstore.com/marcas/raw-series/bcaa-s-instantaneo-4-1-1-2-0,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/b/c/bcaas-4-1-1-raw-hsn_1.jpg,2026-09-23,,5.0,200.0,False,['sin sabor'],4.6,308.0,https://www.hsnstore.com/marcas/raw-series/bcaa-s-instantaneo-4-1-1-2-0,
R1 Gain 2.2 Kg,Rule1,BCAA,59.9,2.2,27.23,Nutritienda,https://www.nutritienda.com/es/rule1/r1-gain-2200g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/db8d3abf-c488-44ca-6db5-f535333b5b00/public,2026-09-23,,,,,,5.0,1.0,https://www.nutritienda.com/es/rule1/r1-gain-2200g,
Origin Intra-Workout 1.2kg,,BCAA,34.99,1.2,29.16,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/origin-intra-workout/16872733/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/16872735-1555272544698212.jpg&format=webp&width=1500&height=1500&fit=cover,2026-09-23,,,,,"['Blue Slushie', 'Original (White)', 'Raspberry Candy']",,,,
100% Platinum Whey 750g,Vplab Nutrition,BCAA,22.99,0.75,30.65,Nutritienda,https://www.nutritienda.com/es/vplab-nutrition/100-platinum-whey-750g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/cac9706b-89e3-4621-4ff0-99edcc4c4a00/public,2026-09-23,,,,,,5.0,3.0,https://www.nutritienda.com/es/vplab-nutrition/100-platinum-whey-750g,
Intra 2000g,Power Labs,BCAA,75.0,2.0,37.5,Nutritienda,https://www.nutritienda.com/es/power-labs/intra-2000g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/02df0287-afa2-49ac-d86b-f30766a6e100/public,2026-09-23,,,,,,5.0,11.0,https://www.nutritienda.com/es/power-labs/intra-2000g,
