nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,fecha_scraping
Scitec Nutrition BCAA Xpress 700g,Scitec Nutrition,BCAA,29.9,0.7,42.71,Nutritienda,https://www.nutritienda.com/es/scitec-bcaa-xpress-700g,2026-03-31
HSN Evobcaa's 2.0 400g,HSN,BCAA,22.9,0.4,57.25,HSN,https://www.hsnstore.eu/brands/sport-series/evobcaas-2-0,2026-03-31
BioTechUSA 100% Creatine Monohydrate 500g,BioTechUSA,Creatina,15.9,0.5,31.8,Nutritienda,https://www.nutritienda.com/es/biotechusa-100-creatine-monohydrate-500g,2026-03-31
MyProtein Creatine Monohydrate 500g,MyProtein,Creatina,16.99,0.5,33.98,MyProtein.es,https://www.myprotein.es/p/nutricion-deportiva/creatina-monohidrato/10530116/,2026-03-31
HSN Creatine Excell Creapure 500g,HSN,Creatina,19.9,0.5,39.8,HSN,https://www.hsnstore.eu/brands/sport-series/creatine-excell,2026-03-31
Optimum Nutrition Creatine Powder 634g,Optimum Nutrition,Creatina,28.99,0.634,45.73,Amazon.es,https://www.amazon.es/dp/B002DYIZEO,2026-03-31
HSN Evobomb Pre-Workout 400g,HSN,Pre-Entreno,24.9,0.4,62.25,HSN,https://www.hsnstore.eu/brands/sport-series/evobomb,2026-03-31
Applied Nutrition ABE Pre-Workout 315g,Applied Nutrition,Pre-Entreno,27.5,0.315,87.3,Nutritienda,https://www.nutritienda.com/es/applied-nutrition-abe,2026-03-31
HSN 100% Whey Protein Concentrate 2kg,HSN,Proteínas Whey,27.9,2.0,13.95,HSN,https://www.hsnstore.eu/brands/raw-series/100-whey-protein-concentrate,2026-03-31
MyProtein Essential Whey Protein 1kg,MyProtein,Proteínas Whey,19.29,1.0,19.29,MyProtein.es,https://www.myprotein.es/p/nutricion-deportiva/essential-whey-protein/,2026-03-31
BioTechUSA 100% Pure Whey 2.27kg,BioTechUSA,Proteínas Whey,44.9,2.27,19.78,Nutritienda,https://www.nutritienda.com/es/biotechusa-100-pure-whey-2270g,2026-03-31
HSN Evowhey Protein 2.0 2kg,HSN,Proteínas Whey,39.89,2.0,19.95,HSN,https://www.hsnstore.eu/brands/sport-series/evowhey-protein-2-0,2026-03-31
Scitec Nutrition 100% Whey Protein Pro 2.35kg,Scitec Nutrition,Proteínas Whey,49.9,2.35,21.23,Nutritienda,https://www.nutritienda.com/es/scitec-100-whey-protein-pro,2026-03-31
Optimum Nutrition Gold Standard Whey 2.27kg,Optimum Nutrition,Proteínas Whey,54.99,2.27,24.22,Amazon.es,https://www.amazon.es/dp/B000QSNYGI,2026-03-31
MyProtein Impact Whey Protein 2.5kg Vainilla,MyProtein,Proteínas Whey,60.99,2.5,24.4,MyProtein.es,https://www.myprotein.es/p/nutricion-deportiva/impact-whey-protein/10530943/,2026-03-31
MyProtein Impact Whey Protein 1kg Chocolate,MyProtein,Proteínas Whey,26.99,1.0,26.99,MyProtein.es,https://www.myprotein.es/p/nutricion-deportiva/impact-whey-protein/10530943/,2026-03-31
Dymatize ISO100 Hydrolyzed 2.2kg,Dymatize,Proteínas Whey,69.99,2.2,31.81,Amazon.es,https://www.amazon.es/dp/B000E8ZJIS,2026-03-31
